"LTER_site","Local_site","Samp_loc","Date","Year","Time","Depth_to_water","pH","Cond","ANC","H","NH4","Ca","Mg","Na","K","Cl","NO3","SO4","PO4","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDuet","dD_sdev","D_excess","Trit","T_sdev","DOC"
"NWT","SADDLE","SAD.D3","18/05/2006",2006,"830",8.13,7.12,48,400.78,0.075857758,0.996308909,317.1656687,48.71668312,117.0084124,25.2928239,10.408146,6.822041484,64.20879935,NA,223.8661611,509.2557548,482.2189868,0.027269245,8.833272648,8.058571969,0.774700679,0.240221576,7.818350393,0.426163879,0.138826112,0.287337767,0.138826112,NA,-16.06256658,0.028718652,-117.9478086,0.145068941,10.55272407,NA,NA,4.388629642
"NWT","SADDLE","SAD.D3","22/05/2006",2006,"1110",2.56,6.88,47.6,398.86,0.131825674,NA,345.7085828,43.09805857,91.7798328,18.33665797,6.797732209,10.33789265,71.55825012,NA,216.2774336,499.0549578,487.553875,0.011657186,12.85734684,12.41341644,0.443930405,2.075523786,10.33789265,0.303480338,0.10654097,0.196939369,0.10654097,NA,-16.16287311,0.014520823,-117.8047105,0.390310989,11.49827439,NA,NA,6.58646073
"NWT","SADDLE","SAD.D3","1/06/2006",2006,"1005",1.31,7.06,42.3,318.06,0.087096359,4.039566779,293.8123752,43.09805857,81.77539605,14.1424991,4.56942995,9.934698709,77.90834215,NA,197.2647226,436.9549921,410.4724708,0.031250487,17.07282943,18.23563009,NA,4.261364603,13.97426549,0.08394137,NA,0.08394137,NA,NA,-16.71774694,0.012692594,-121.3553634,0.106736118,12.3866121,NA,NA,NA
"NWT","SADDLE","SAD.D3","8/06/2006",2006,"1245",0.61,7.43,45.6,354.56,0.037153523,NA,340.9680639,43.77262257,81.77539605,11.99427139,7.27724029,11.32168587,87.21487046,NA,210.6231574,478.5475074,460.3737966,0.019355947,13.44799275,13.49489887,NA,2.173213003,11.32168587,0.742558275,NA,0.742558275,NA,NA,-16.94761385,0.038605675,-121.7857367,0.0515898,13.79517407,NA,NA,3.006516553
"NWT","SADDLE","SAD.D3","15/06/2006",2006,"825",0.66,7.02,38.1,294.89,0.095499259,NA,268.7125749,36.93649227,82.64534707,10.68999028,2.538572194,10.20887059,67.12359569,NA,206.507299,399.0799037,374.7610385,0.031426181,13.87485989,13.48076278,0.394097111,3.271892189,10.20887059,0.306708853,0.119455027,0.187253826,0.119455027,NA,-16.62543215,0.030930528,-121.8007563,0.052187743,11.20270097,NA,NA,1.077835015
"NWT","SADDLE","SAD.D3","22/06/2006",2006,"820",1.39,7.23,43.4,323.74,0.058884366,NA,307.7345309,42.08621257,89.16997973,12.65919902,2.312921332,9.886315436,86.73601106,NA,202.3286691,451.7088066,422.6752478,0.033204584,15.856126,13.77433657,2.081789429,3.888021131,9.886315436,0.135597598,NA,0.135597598,NA,NA,-16.81532504,0.050553953,-122.138937,0.22650002,12.38366336,NA,NA,1.165035345
"NWT","SADDLE","SAD.D3","28/06/2006",2006,"800",1.51,7.09,35.5,290.87,0.081283052,NA,239.7205589,34.6248766,75.25076338,11.76410414,3.412969283,7.338129728,55.06883083,NA,200.8299865,361.4415861,356.6899298,0.006616694,13.33526098,14.02507371,NA,6.686943986,7.338129728,NA,NA,NA,NA,NA,-16.7741981,0.056011819,-122.7401545,0.042106838,11.45343031,NA,NA,0.760489953
"NWT","SADDLE","SAD.D3","6/07/2006",2006,"815",2,6.89,37.9,290.23,0.128824955,NA,263.3732535,37.52056598,84.38524911,11.99427139,4.230953657,7.434896274,66.49899648,NA,204.0425835,397.4021649,368.3948464,0.0378786,NA,12.51094119,NA,5.076044918,7.434896274,NA,0.048427714,NA,0.048427714,NA,-16.4137837,0.044227838,-121.4031393,0.189881637,9.907130263,NA,NA,0.684061345
"NWT","SADDLE","SAD.D3","13/07/2006",2006,"755",1.23,7.12,35.9,286.42,0.075857758,NA,240.7185629,35.29944061,76.99066543,11.12475065,1.918032324,5.725353964,52.90355355,NA,204.4062878,364.2092773,346.9669398,0.024244817,NA,11.75030521,NA,6.024951247,5.725353964,NA,NA,NA,NA,NA,-16.55470138,0.058165276,-121.2914094,0.086410509,11.14620159,NA,NA,0.331783461
"NWT","SADDLE","SAD.D3","20/07/2006",2006,"805",2.45,6.83,41.6,316.64,0.147910839,NA,267.3153693,41.02500823,83.51529809,11.78967828,1.692381463,5.999525844,62.45992155,NA,210.6345866,403.7932647,386.7918289,0.021504878,NA,12.52472031,NA,6.525194468,5.999525844,NA,NA,NA,NA,NA,-16.4355471,0.016996949,-120.5433727,0.149388959,10.94100408,NA,NA,0.341082697
"NWT","SADDLE","SAD.D3","27/07/2006",2006,"800",2.91,6.79,33.8,274.24,0.16218101,NA,215.4690619,31.91839421,72.20593481,9.87161782,1.297492455,4.709305232,40.49484914,NA,200.2077191,329.6271897,320.7416468,0.013662313,NA,6.224092756,NA,1.514787523,4.709305232,NA,NA,NA,NA,NA,-16.26812264,0.043939493,-119.2024447,0.27120862,10.94253646,NA,NA,0.977031487
