"Code","ID"
"ABS1","ABS1.Orange_LEGO_Fragment"
"ABS2","ABS2.Red_LEGO_Fragment"
"ABS4","ABS4.LightBlue_LEGO_Fragment"
"ABS5","ABS5.DarkBlue_LEGO_Fragment"
"ABS6","ABS6.DarkGreen_LEGO_Fragment"
"ABS7","ABS7.LightGreen_LEGO_Fragment"
"ABS8","ABS8.Yellow_LEGO_Fragment"
"ABS9","ABS9.Beige_LEGO_Fragment"
"ABS10","ABS10.Brown_LEGO_Fragment"
"ABS11","ABS11.Black_LEGO_Fragment"
"ABS12","ABS12.White_LEGO_Fragment"
"ABS14","ABS14.White_FridgeLining_Fragment"
"ABS15","ABS15.Black_Pipe_Fragment"
"ABS16","ABS16.Clear_Glassware_Fragment"
"Acrylic1","Acrylic1.Green_Yarn_Fiber"
"Acrylic3","Acrylic3.Yellow_Yarn_Fiber"
"Acrylic4","Acrylic4"
"Acrylic5","Acrylic5.Pink_Fiber"
"Acrylic7","Acrylic7.White_Fiber"
"Acrylic8","Acrylic8.Orange_Fiber"
"Cotton1","Cotton1.Grey_Fiber"
"Cotton2","Cotton2.Pink_Fiber"
"Cotton3","Cotton3.Yellow_Fiber"
"Cotton5","Cotton5.Blue_Fiber"
"Cotton6","Cotton6.Green_Fiber"
"Cotton7","Cotton7.Orange_Fiber"
"Cotton8","Cotton8.Red_Fabric"
"Cotton9","Cotton9.Black_Fiber"
"Cotton10","Cotton10.Purple_Fiber"
"Cotton11","Cotton11.Brown_Fiber"
"Cotton12","Cotton12.Grey_Fiber"
"Cotton13","Cotton13.Yellow_Fiber"
"Cotton14","Cotton14.Green_Fiber"
"Cotton15","Cotton15.White_LabCoat_Fiber"
"Nylon1","Nylon1.White_CableTie_Fragment"
"Nylon3","Nylon3.White_Fiber"
"Nylon4","Nylon4.White_Fiber"
"Nylon5","Nylon5.White_ToothFloss_Fiber"
"Nylon6","Nylon6.Red_Fiber"
"Nylon7","Nylon7.Green_Carpet_Fiber"
"Nylon10","Nylon10.Yellow_fiber"
"Nylon11","Nylon11.Red_Fiber"
"Nylon13","Nylon13.Green_fiber"
"Nylon20","Nylon20.Black_Coat_Fiber"
"Nylon21","Nylon21.White_Toothbrush_Fiber"
"Nylon22","Nylon22.Blue_Toothbrush_Fiber"
"PC1","PC1.Clear_CD_Fragment"
"PC2","PC2.Clear_SwimmingGoggles_Fragment"
"PC3","PC3.LabFilter_Film"
"PC5","PC5.Clear_LabGogglesLense_Fragment"
"PC6","PC6.Blue_Glassware_Fragment"
"PC7","PC7.Black_PanScraper_Fragment"
"PC8","PC8.Red_PanScraper_Fragment"
"PC9","PC9.Black_GlassesFrame_Fragment"
"PE3","PE3.Green_GarbageBin_Fragment"
"PE4","PE4.Orange_GarbageBin_Fragment"
"PE7","PE7.White_GroceryBag_Film"
"PE9","PE9.Clear_Wrapping_Film"
"PE10","PE10.Grey_GroceryBag_Film"
"PE11","PE11.Green_Toy_Fragment"
"PE12","PE12.Black_PenLid_Fragment"
"PE14","PE14.Green_TamponWrapper_Film"
"PE15","PE15.Green_TamponApplicator_Fragment"
"PE16","PE16.White_Art_Foam"
"PE18","PE18.White_CurtainHook_Fragment"
"PE19","PE19.Grey_Bottle_Fragment"
"PE21","PE21.Yellow_Container_Fragment"
"PE22","PE22.Blue_Container_Fragment"
"PE30","PE30.White_FoamRoller_Foam"
"PE31","PE31.Clear_CoffeeCupLining_Film"
"PE32","PE32.Clear_ShowerCurtain_Fragment"
"PE33","PE33.Blue_Tarpaulin_Film"
"PEA1","PEA1.Clear_DoubleSidedTape"
"PET1","PET1.Red_Bottle_Fragment"
"PET2","PET2.Black_Bottle_Fragment"
"PET5","PET5.Green_Glitter_Fragment"
"PET8","PET8.Clear_JuiceBottle_Fragment"
"PET9","PET9.White_ShampooBottle_Fragment"
"PET11","PET11.White_WetWipesPacket_Film"
"PET13","PET13.Clear_Sheet_Fragment"
"PET14","PET14.White_Microsphere"
"PET15","PET15.Black_CableCover_Fragment"
"PET18","PET18.Blue_PharmaceuticalsBottle_Fragment"
"PET19","PET19.Clear_ProjectorPaper"
"PEVA1","PEVA1.Pink_FlipFlop_Foam"
"PEVA2","PEVA2.Orange_FlipFlop_Foam"
"PEVA5","PEVA5.Blue_FlipFlop_Foam"
"PEVA6","PEVA6.Blue_FlipFlop_Foam"
"PEVA7","PEVA7.Yellow_FlipFlop_Foam"
"PEVA8","PEVA8.Green_FlipFlop_Foam"
"PEVA10","PEVA10.Yellow_Fiber"
"PEVA11","PEVA11.Purple_Fiber"
"PEVA12","PEVA12.Pink_Fiber"
"PEVA13","PEVA13.Blue_Fiber"
"PLA1","PLA1.White_Straw_Fragment"
"PLA3","PLA3.White_Teabag_Fiber"
"PLA4","PLA4.White_3DPrinter_Fragment"
"PLA5","PLA5.Orange_3DPrinting_Fragment"
"PLA6","PLA6.Grey_3DPrinting_Fragment"
"PLA7","PLA7.Clear_3DPrinting_Fragment"
"PLA8","PLA8.Black_3DPrinting_Fragment"
"PLA9","PLA9.Silver3DPrinting_Fragment"
"Polyester1","Polyester1.White_Fiber"
"Polyester2","Polyester2.Yellow_Fiber"
"Polyester4","Polyester4.White_Fiber"
"Polyester5","Polyester5.Pink_Fiber"
"Polyester6","Polyester6.White_Fiber"
"Polyester7","Polyester7.Red_Yarn_Fiber"
