"Dataset","PeakNo","Wavenumber","Percent.T"
"ABS1",1,696.2058,76.19781
"ABS1",2,757.9194,87.03703
"ABS1",3,910.2747,94.42805
"ABS1",4,966.2025,94.45529
"ABS1",5,1027.916,94.01396
"ABS1",6,1068.416,94.36006
"ABS1",7,1450.268,92.88729
"ABS1",8,1494.625,94.24473
"ABS1",9,1600.695,96.991
"ABS1",10,2237.116,98.97435
"ABS1",11,2919.822,97.47166
"ABS1",12,3025.892,99.05518
"ABS1",13,3978.594,100.029
"ABS10",1,696.2058,63.30331
"ABS10",2,757.9194,79.17358
"ABS10",3,846.6326,92.44151
"ABS10",4,910.2747,90.80286
"ABS10",5,968.1311,91.02989
"ABS10",6,1027.916,89.17207
"ABS10",7,1068.416,90.19588
"ABS10",8,1450.268,86.41525
"ABS10",9,1492.696,88.90575
"ABS10",10,1600.695,93.37727
"ABS10",11,1727.979,94.0162
"ABS10",12,2237.116,97.38422
"ABS10",13,2854.251,96.11936
"ABS10",14,2923.679,92.60181
"ABS10",15,3027.82,96.73752
"ABS10",16,3978.594,100.3728
"ABS11",1,696.2058,66.33439
"ABS11",2,700.0629,57.97507
"ABS11",3,759.8479,78.81278
"ABS11",4,846.6326,93.85361
"ABS11",5,910.2747,90.13197
"ABS11",6,966.2025,86.89507
"ABS11",7,1024.059,91.84808
"ABS11",8,1070.344,92.18859
"ABS11",9,1367.341,93.75311
"ABS11",10,1450.268,85.52277
"ABS11",11,1492.696,89.34188
"ABS11",12,1556.338,95.66512
"ABS11",13,1602.623,94.04636
"ABS11",14,1637.337,94.88452
"ABS11",15,1729.908,94.15241
"ABS11",16,2237.116,96.42582
"ABS11",17,2852.323,94.50817
"ABS11",18,2921.75,90.14741
"ABS11",19,3027.82,96.3876
"ABS11",20,3062.534,97.75472
"ABS11",21,3297.817,98.60539
"ABS11",22,3978.594,99.74993
"ABS12",1,696.2058,60.61383
"ABS12",2,759.8479,76.80152
"ABS12",3,846.6326,93.31478
"ABS12",4,910.2747,89.52556
"ABS12",5,966.2025,86.08545
"ABS12",6,1027.916,92.49167
"ABS12",7,1070.344,93.16998
"ABS12",8,1286.342,93.52779
"ABS12",9,1363.483,94.34962
"ABS12",10,1450.268,85.19193
"ABS12",11,1492.696,88.28391
"ABS12",12,1558.267,96.47823
"ABS12",13,1602.623,94.30155
"ABS12",14,1637.337,95.08919
"ABS12",15,1726.051,95.59512
"ABS12",16,2237.116,95.74181
"ABS12",17,2850.394,94.07769
"ABS12",18,2919.822,89.86998
"ABS12",19,3027.82,95.29051
"ABS12",20,3060.606,97.03727
"ABS12",21,3299.746,98.1331
"ABS12",22,3978.594,98.52245
"ABS14",1,696.2058,69.55933
"ABS14",2,700.0629,62.80577
"ABS14",3,759.8479,81.6189
"ABS14",4,910.2747,93.52179
"ABS14",5,968.1311,92.78338
"ABS14",6,1027.916,93.16626
"ABS14",7,1070.344,93.45387
"ABS14",8,1118.558,94.54028
"ABS14",9,1166.771,93.29825
"ABS14",10,1282.484,94.18904
"ABS14",11,1367.341,94.62513
"ABS14",12,1450.268,88.56078
"ABS14",13,1492.696,91.35822
"ABS14",14,1602.623,94.6684
"ABS14",15,1731.836,92.76683
"ABS14",16,2237.116,95.99758
"ABS14",17,2925.607,93.313
"ABS14",18,3027.82,96.16863
"ABS14",19,3978.594,97.82258
"ABS15",1,696.2058,65.69633
"ABS15",2,700.0629,57.65805
"ABS15",3,759.8479,79.83195
"ABS15",4,846.6326,95.05466
"ABS15",5,910.2747,91.15336
"ABS15",6,966.2025,86.27254
"ABS15",7,1027.916,92.72277
"ABS15",8,1072.273,93.27123
"ABS15",9,1120.486,94.745
"ABS15",10,1286.342,94.46667
"ABS15",11,1363.483,94.96722
"ABS15",12,1450.268,86.918
"ABS15",13,1492.696,90.41765
"ABS15",14,1600.695,93.97075
"ABS15",15,1727.979,96.08091
"ABS15",16,2237.116,98.24838
"ABS15",17,2850.394,96.74953
"ABS15",18,2921.75,92.70121
"ABS15",19,3025.892,97.62074
"ABS15",20,3060.606,99.24477
"ABS15",21,3978.594,101.6584
"ABS16",1,696.2058,56.81694
"ABS16",2,700.0629,50.38015
"ABS16",3,759.8479,75.68001
"ABS16",4,844.704,94.56155
"ABS16",5,910.2747,93.68838
"ABS16",6,1027.916,91.72612
"ABS16",7,1070.344,93.2663
"ABS16",8,1157.129,94.22517
"ABS16",9,1184.128,94.72594
"ABS16",10,1365.412,93.73685
"ABS16",11,1450.268,84.90877
"ABS16",12,1492.696,87.21669
"ABS16",13,1602.623,93.68946
"ABS16",14,1658.551,96.14302
"ABS16",15,1731.836,96.11873
"ABS16",16,2237.116,96.52757
"ABS16",17,2856.18,96.38858
"ABS16",18,2923.679,92.87751
"ABS16",19,3027.82,95.82998
"ABS16",20,3978.594,99.81697
"ABS2",1,696.2058,72.17248
"ABS2",2,700.0629,64.94369
"ABS2",3,759.8479,83.48652
"ABS2",4,910.2747,93.68628
"ABS2",5,966.2025,91.13487
"ABS2",6,1025.988,95.74968
"ABS2",7,1070.344,96.1438
"ABS2",8,1286.342,96.29131
"ABS2",9,1363.483,96.85868
"ABS2",10,1450.268,89.7774
"ABS2",11,1492.696,92.3473
"ABS2",12,1600.695,97.37052
"ABS2",13,1637.337,97.9877
"ABS2",14,1726.051,98.21555
"ABS2",15,2237.116,98.94099
"ABS2",16,2850.394,97.76288
"ABS2",17,2921.75,94.54012
"ABS2",18,3027.82,98.74214
"ABS2",19,3062.534,99.95159
"ABS2",20,3299.746,100.8611
"ABS2",21,3978.594,100.8936
"ABS4",1,696.2058,62.09575
"ABS4",2,700.0629,54.6629
"ABS4",3,759.8479,77.84547
"ABS4",4,848.5612,94.00414
"ABS4",5,910.2747,91.76627
"ABS4",6,968.1311,91.6748
"ABS4",7,1027.916,89.39729
"ABS4",8,1068.416,90.54948
"ABS4",9,1184.128,92.74696
"ABS4",10,1365.412,93.61695
"ABS4",11,1450.268,85.72329
"ABS4",12,1492.696,88.43524
"ABS4",13,1602.623,93.93879
"ABS4",14,1724.122,94.21365
"ABS4",15,2237.116,97.37962
"ABS4",16,2856.18,96.30903
"ABS4",17,2923.679,92.42713
"ABS4",18,3027.82,96.21555
"ABS4",19,3301.674,98.0839
"ABS4",20,3978.594,99.74797
"ABS5",1,696.2058,84.93134
"ABS5",2,759.8479,90.58916
"ABS5",3,910.2747,95.08344
"ABS5",4,966.2025,92.06799
"ABS5",5,1012.488,92.00079
"ABS5",6,1168.7,96.86852
"ABS5",7,1450.268,94.33715
"ABS5",8,1492.696,96.08543
"ABS5",9,1600.695,97.57913
"ABS5",10,1641.194,97.90994
"ABS5",11,1729.908,97.26682
"ABS5",12,2237.116,99.42625
"ABS5",13,2850.394,98.51379
"ABS5",14,2919.822,96.68083
"ABS5",15,3025.892,99.60249
"ABS5",16,3978.594,100.275
"ABS6",1,696.2058,67.52167
"ABS6",2,700.0629,59.65522
"ABS6",3,759.8479,80.8583
"ABS6",4,846.6326,96.10735
"ABS6",5,910.2747,92.13729
"ABS6",6,966.2025,88.54011
"ABS6",7,1025.988,94.60703
"ABS6",8,1070.344,94.9481
"ABS6",9,1162.914,95.19244
"ABS6",10,1284.413,95.60149
"ABS6",11,1367.341,96.30339
"ABS6",12,1450.268,87.73428
"ABS6",13,1492.696,91.4174
"ABS6",14,1556.338,98.56646
"ABS6",15,1602.623,97.07196
"ABS6",16,1637.337,97.64448
"ABS6",17,1731.836,94.86927
"ABS6",18,2237.116,98.79945
"ABS6",19,2852.323,97.05432
"ABS6",20,2921.75,92.55939
"ABS6",21,3027.82,98.62221
"ABS6",22,3062.534,100.1341
"ABS6",23,3299.746,101.2148
"ABS6",24,3978.594,101.7277
"ABS7",1,696.2058,65.61071
"ABS7",2,700.0629,56.65638
"ABS7",3,759.8479,79.41971
"ABS7",4,846.6326,95.73005
"ABS7",5,910.2747,91.63987
"ABS7",6,966.2025,88.39652
"ABS7",7,1025.988,94.37711
"ABS7",8,1070.344,94.72803
"ABS7",9,1157.129,96.41726
"ABS7",10,1286.342,94.95866
"ABS7",11,1450.268,86.408
"ABS7",12,1492.696,89.73946
"ABS7",13,1544.767,97.17577
"ABS7",14,1602.623,95.69003
"ABS7",15,1637.337,96.30289
"ABS7",16,1724.122,97.06981
"ABS7",17,2237.116,97.21326
"ABS7",18,2850.394,94.56325
"ABS7",19,2921.75,89.96834
"ABS7",20,3027.82,96.55238
"ABS7",21,3299.746,99.16666
"ABS7",22,3978.594,99.60508
"ABS8",1,696.2058,91.37039
"ABS8",2,759.8479,94.91061
"ABS8",3,910.2747,97.90598
"ABS8",4,964.274,98.08961
"ABS8",5,1162.914,98.15118
"ABS8",6,1454.125,98.08949
"ABS8",7,1743.407,97.95068
"ABS8",8,2854.251,98.18128
"ABS8",9,2921.75,97.24025
"ABS8",10,3978.594,99.59351
"ABS9",1,696.2058,64.27718
"ABS9",2,757.9194,80.73721
"ABS9",3,846.6326,94.82056
"ABS9",4,910.2747,92.06844
"ABS9",5,966.2025,90.30125
"ABS9",6,1025.988,93.2919
"ABS9",7,1070.344,93.79647
"ABS9",8,1286.342,94.63264
"ABS9",9,1365.412,95.3
"ABS9",10,1450.268,87.61594
"ABS9",11,1492.696,89.75124
"ABS9",12,1600.695,95.40984
"ABS9",13,1635.409,96.78561
"ABS9",14,1726.051,96.49536
"ABS9",15,2237.116,97.30713
"ABS9",16,2850.394,96.41361
