"Dataset","PeakNo","Wavenumber","Percent.T"
"ABS1",1,696.2,68.3
"ABS1",2,700.1,59.5
"ABS1",3,759.8,81.3
"ABS1",4,1450.3,87.8
"ABS1",5,968.1,89.8
"ABS1",6,2923.7,92.3
"ABS1",7,1492.7,90.1
"ABS1",8,1026,93.1
"ABS1",9,912.2,93
"ABS1",10,1070.3,93.7
"ABS1",11,3978.6,98.8
"ABS1",12,1288.3,95.6
"ABS1",13,1363.5,95.6
"ABS1",14,2852.3,95.6
"ABS1",15,846.6,96.2
"ABS1",16,1602.6,95.4
"ABS1",17,3027.8,96
"ABS1",18,2237.1,96.7
"ABS1",19,1724.1,97.3
"ABS1",20,3060.6,97.3
"C1",1,1056.8,37.7
"C1",2,1033.7,38.6
"C1",3,1110.8,61.2
"C1",4,696.2,70.4
"C1",5,1159.1,77.3
"C1",6,3328.7,78
"C1",7,898.7,84.5
"C1",8,1317.2,84
"C1",9,852.4,88.1
"C1",10,1365.4,88.6
"C1",11,1203.4,89.3
"C1",12,1282.5,89.4
"C1",13,1238.1,91
"C1",14,1429.1,91.2
"C1",15,2904.4,95
"C1",16,3978.6,104.9
"C10",1,1029.8,40.3
"C10",2,1053,40.5
"C10",3,1105.1,61.7
"C10",4,696.2,73.9
"C10",5,3340.2,75.8
"C10",6,1155.2,79.6
"C10",7,1315.3,82.9
"C10",8,896.8,86.6
"C10",9,1363.5,86.9
"C10",10,1278.6,89.2
"C10",11,1427.1,89.5
"C10",12,2900.5,90.8
"C10",13,1199.6,91
"C10",14,1691.3,97.8
"C10",15,3978.6,103.2
"C10",16,3770.3,103
"C10",17,3818.5,103.2
"C11",1,1054.9,45.7
"C11",2,1031.8,46.6
"C11",3,1107,65.1
"C11",4,696.2,78.1
"C11",5,1159.1,77.5
"C11",6,3336.4,80.7
"C11",7,1315.3,86
"C11",8,896.8,88.5
"C11",9,1367.3,89.3
"C11",10,1201.5,90.2
"C11",11,1274.8,90.5
"C11",12,1431,91.7
"C11",13,808.1,91.8
"C11",14,833.1,92.3
"C11",15,2904.4,92.6
"C11",16,1731.8,94.5
"C11",17,3978.6,102.3
"C11",18,1666.3,99.5
"C11",19,1695.2,98.7
"C11",20,3911.1,102.7
"C11",21,3699,102.5
"C11",22,3812.7,101.9
"C11",23,3747.2,101.8
"C12",1,1054.9,46.7
"C12",2,1031.8,47.2
"C12",3,1107,65.9
"C12",4,696.2,74.4
"C12",5,1159.1,80.2
"C12",6,3336.4,85
"C12",7,1315.3,85.3
"C12",8,1365.4,89.2
"C12",9,1280.6,90
"C12",10,1429.1,90.9
"C12",11,1203.4,91.1
"C12",12,2902.5,94
"C12",13,1689.4,97
"C12",14,3978.6,102.8
"C12",15,1575.6,99.7
"C12",16,3799.2,101.9
"C12",17,3868.7,102.9
"C12",18,2347,102.8
"C12",19,3766.5,102.7
"C2",1,1056.8,64.7
"C2",2,1031.8,65.4
"C2",3,1107,77.1
"C2",4,1411.7,78.8
"C2",5,696.2,83.9
"C2",6,1458,81.7
"C2",7,705.8,83.1
