"Dataset","PeakNo","Wavenumber","Intensity"
"Acrylic1.GreenYarn",1,569,319.2
"Acrylic1.GreenYarn",2,1652,219.3
"Acrylic1.GreenYarn",3,1321.9,211.7
"Acrylic1.GreenYarn",4,1086.3,189.8
"Acrylic1.GreenYarn",5,1114.4,150.5
"Acrylic1.GreenYarn",6,1452.6,179.4
"Acrylic1.GreenYarn",7,802.7,136.7
"Acrylic1.GreenYarn",8,764.8,100.2
"Acrylic1.GreenYarn",9,308.1,94.7
"Acrylic1.GreenYarn",10,264,104.3
"Acrylic1.GreenYarn",11,608.1,123.8
"Acrylic1.GreenYarn",12,840.3,76.8
"Acrylic1.GreenYarn",13,524,74.6
"Acrylic1.GreenYarn",14,207.7,58.2
"Acrylic1.GreenYarn",15,660.8,64.7
"Acrylic1.GreenYarn",16,882.9,57.6
"Acrylic1.GreenYarn",17,1187.8,54.5
"Acrylic1.GreenYarn",18,1610.4,60.8
"Acrylic1.GreenYarn",19,927.9,34.3
"Acrylic1.GreenYarn",20,1001.2,58.1
"Acrylic1.GreenYarn",21,1528.6,41.2
"Acrylic1.GreenYarn",22,1230.4,44.9
"Acrylic1.GreenYarn",23,424.2,45
"Acrylic1.GreenYarn",24,1561.5,32
"Acrylic1.GreenYarn",25,378,28.8
"Acrylic1.GreenYarn",26,159.8,51
"Acrylic1.GreenYarn",27,1740.9,33.6
"Acrylic1.GreenYarn",28,1152.5,41.9
"Acrylic10.PinkFiber",1,261.1,736
"Acrylic10.PinkFiber",2,1114.4,496.2
"Acrylic10.PinkFiber",3,1452.6,537.8
"Acrylic10.PinkFiber",4,1314.5,447.4
"Acrylic10.PinkFiber",5,1083.8,426.7
"Acrylic10.PinkFiber",6,524,365
"Acrylic10.PinkFiber",7,144.8,387.3
"Acrylic10.PinkFiber",8,816.1,270
"Acrylic10.PinkFiber",9,1235.4,230
"Acrylic10.PinkFiber",10,635.9,212.6
"Acrylic10.PinkFiber",11,404.1,149
"Acrylic10.PinkFiber",12,1519.2,115
"Acrylic10.PinkFiber",13,933.2,117
"Acrylic10.PinkFiber",14,1738.7,116
"Acrylic10.PinkFiber",15,877.6,103.3
"Acrylic10.PinkFiber",16,1577.8,108.4
"Acrylic10.PinkFiber",17,186.8,39.9
"Acrylic10.PinkFiber",18,1608.1,83.6
"Acrylic2.RedYarn",1,1299.8,1425.7
"Acrylic2.RedYarn",2,1117,1057.5
"Acrylic2.RedYarn",3,1353.7,1019.1
"Acrylic2.RedYarn",4,1455,868.1
"Acrylic2.RedYarn",5,1523.9,770.9
"Acrylic2.RedYarn",6,1081.2,689.7
"Acrylic2.RedYarn",7,802.7,565.9
"Acrylic2.RedYarn",8,123.7,613.6
"Acrylic2.RedYarn",9,1235.4,599.8
"Acrylic2.RedYarn",10,1610.4,551.8
"Acrylic2.RedYarn",11,261.1,430.4
"Acrylic2.RedYarn",12,1150,422.8
"Acrylic2.RedYarn",13,552.2,263.8
"Acrylic2.RedYarn",14,526.8,281.8
"Acrylic2.RedYarn",15,930.5,384.6
"Acrylic2.RedYarn",16,748.5,284
"Acrylic2.RedYarn",17,718.5,327.5
"Acrylic2.RedYarn",18,1409.4,233
"Acrylic2.RedYarn",19,1009,234.3
"Acrylic2.RedYarn",20,409.8,226.6
"Acrylic2.RedYarn",21,334.4,190.1
"Acrylic2.RedYarn",22,622.1,218.6
"Acrylic2.RedYarn",23,204.7,170
"Acrylic2.RedYarn",24,441.4,156.4
"Acrylic2.RedYarn",25,655.3,143.1
"Acrylic2.RedYarn",26,680.1,119.6
"Acrylic3.YellowYarn",1,1111.9,379.2
"Acrylic3.YellowYarn",2,1086.3,355.3
"Acrylic3.YellowYarn",3,261.1,360.7
"Acrylic3.YellowYarn",4,1452.6,324
"Acrylic3.YellowYarn",5,1317,292.4
"Acrylic3.YellowYarn",6,141.8,259.8
"Acrylic3.YellowYarn",7,524,203.3
"Acrylic3.YellowYarn",8,1351.2,202.9
"Acrylic3.YellowYarn",9,1217.9,144.7
"Acrylic3.YellowYarn",10,406.9,78.6
"Acrylic3.YellowYarn",11,885.6,72.3
"Acrylic3.YellowYarn",12,641.5,60.7
"Acrylic3.YellowYarn",13,594.2,26
"Acrylic3.YellowYarn",14,1738.7,22.3
"Acrylic3.YellowYarn",15,2193.8,12.7
"Acrylic4.PurpleYarn",1,264,559.7
"Acrylic4.PurpleYarn",2,1455,349.5
"Acrylic4.PurpleYarn",3,524,290.3
"Acrylic4.PurpleYarn",4,1111.9,288
"Acrylic4.PurpleYarn",5,1083.8,301.4
"Acrylic4.PurpleYarn",6,1314.5,295.7
"Acrylic4.PurpleYarn",7,1353.7,226.3
"Acrylic4.PurpleYarn",8,791.9,165
"Acrylic4.PurpleYarn",9,834.9,177.3
"Acrylic4.PurpleYarn",10,305.2,166.2
"Acrylic4.PurpleYarn",11,1235.4,152
"Acrylic4.PurpleYarn",12,117.7,122.6
"Acrylic4.PurpleYarn",13,421.3,123.8
"Acrylic4.PurpleYarn",14,346.1,81.6
"Acrylic4.PurpleYarn",15,1610.4,96.5
"Acrylic4.PurpleYarn",16,927.9,64.6
"Acrylic4.PurpleYarn",17,988.2,83.1
"Acrylic4.PurpleYarn",18,159.8,45.6
"Acrylic4.PurpleYarn",19,2167,61.9
"Acrylic4.PurpleYarn",20,1743.2,51.8
"Acrylic4.PurpleYarn",21,1519.2,52.8
"Acrylic4.PurpleYarn",22,655.3,55.2
"Acrylic4.PurpleYarn",23,207.7,33
"Acrylic5.PinkYarn",1,261.1,437.3
