"Dataset","PeakNo","Wavenumber","Intensity"
"Acrylic1.RedFiber(Polyacrylonitrile)",1,1297.1,321.9
"Acrylic1.RedFiber(Polyacrylonitrile)",2,1114.3,304.7
"Acrylic1.RedFiber(Polyacrylonitrile)",3,260.9,280.2
"Acrylic1.RedFiber(Polyacrylonitrile)",4,1521.4,260.9
"Acrylic1.RedFiber(Polyacrylonitrile)",5,1464.4,216.7
"Acrylic1.RedFiber(Polyacrylonitrile)",6,783.6,233.5
"Acrylic1.RedFiber(Polyacrylonitrile)",7,1346.2,170.2
"Acrylic1.RedFiber(Polyacrylonitrile)",8,120.5,195.4
"Acrylic1.RedFiber(Polyacrylonitrile)",9,751.1,120.5
"Acrylic1.RedFiber(Polyacrylonitrile)",10,1230.2,130.4
"Acrylic1.RedFiber(Polyacrylonitrile)",11,1566,129
"Acrylic1.RedFiber(Polyacrylonitrile)",12,1167.5,146.6
"Acrylic1.RedFiber(Polyacrylonitrile)",13,821.3,113.4
"Acrylic1.RedFiber(Polyacrylonitrile)",14,523.8,110.4
"Acrylic1.RedFiber(Polyacrylonitrile)",15,308,134.3
"Acrylic1.RedFiber(Polyacrylonitrile)",16,925.1,131.8
"Acrylic1.RedFiber(Polyacrylonitrile)",17,159.7,133.1
"Acrylic1.RedFiber(Polyacrylonitrile)",18,1607.9,87.5
"Acrylic1.RedFiber(Polyacrylonitrile)",19,619.1,98.7
"Acrylic1.RedFiber(Polyacrylonitrile)",20,856.1,68.5
"Acrylic1.RedFiber(Polyacrylonitrile)",21,652.4,101.5
"Acrylic1.RedFiber(Polyacrylonitrile)",22,1409.2,81.8
"Acrylic1.RedFiber(Polyacrylonitrile)",23,429.8,74
"Acrylic1.RedFiber(Polyacrylonitrile)",24,1029.6,53.1
"Acrylic2.PinkFiberBundle(Polyacrylonitrile)",1,261.1,123.7
"Acrylic2.PinkFiberBundle(Polyacrylonitrile)",2,1109.3,120.5
"Acrylic2.PinkFiberBundle(Polyacrylonitrile)",3,1452.6,124.8
"Acrylic2.PinkFiberBundle(Polyacrylonitrile)",4,1309.6,102.7
"Acrylic2.PinkFiberBundle(Polyacrylonitrile)",5,1351.2,96.7
