Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
1040,59,NORSEMAN,NORSEMAN,384872.9,6437376,51,C55,100,30.48,U,uralitized,Basalt,JAH,JA Hallberg,UWA,518000,9500,147000,17000,89000,2000,46000,126000,22000,2300,1600,10000,10000,60,375,134,154,1,96,299,22,95,61,BASALT
1044,63,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,100,30.48,U,uralitized,Basalt,JAH,JA Hallberg,UWA,493000,7900,153000,7000,98000,2200,90000,103000,26000,1300,1500,15000,0.01,59,395,72,172,4,112,313,17,99,50,BASALT
1012,31,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,108,32.91,U,uralitized,Gabbro,JAH,JA Hallberg,UWA,498000,12300,164000,14000,94000,1800,62000,101000,29000,3900,1600,14000,1000,63,130,116,87,27,112,399,26,102,65,GABBRO
1796,1122,YOUANMI,YOUANMI,786673.6,6802854,50,BL3,112.3,34.22,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,531000,7400,123000,17000,72000,2200,74000,124000,30000,1200,1100,17000,5000,70,332,33,110,3,60,304,14,100,45,BASALT
1035,54,NORSEMAN,NORSEMAN,384768.1,6437375,51,C56,115,35.05,U,uralitized,Basalt,JAH,JA Hallberg,UWA,503000,10400,163000,8000,91000,2500,47000,123000,26000,1900,1600,19000,1000,61,470,110,173,7,124,306,26,105,65,BASALT
289,1100,JACKSON,JACKSON,686978.8,6613249,50,DJ1,120,36.57,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,521000,6000,150000,14000,79000,1700,78000,83000,35200,4600,800,26000,1000,47,192,152,120,3,79,310,31,75,38,BASALT
1794,1120,YOUANMI,YOUANMI,786673.6,6802854,50,BL2,132.5,40.38,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,514000,8000,150000,14000,84000,2600,78000,110000,21900,1600,1100,17000,0.01,68,359,62,118,12,113,321,17,240,59,BASALT
1805,1131,YOUANMI,YOUANMI,786673.6,6802854,50,BL7,133,40.53,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,530000,7300,138000,11000,75000,1700,79000,106000,31100,1200,300,13000,2000,50,329,102,89,6,101,297,15,80,42,BASALT
1615,2249,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,135,41.14,CTS,chlorite tremolite schist,High-Mg Basalt,ROS,,KR 46,413000,4300,91000,46000,75000,2200,226000,64000,800,100,100,70000,1000,114,2440,1,925,1,5,127,8,84,23,HIGH MG BASALTX
167,1475,CUE,CUE,608359.1,6949169,50,YD1,138,42.06,MU,,Dolerite,JAH,JA Hallberg,CSIR,520000,11700,138000,21000,103000,1400,61000,70000,40000,2900,1800,22000,0.01,68,49,53,71,10,161,263,22,78,96,DOLERITE
1063,82,NORSEMAN,NORSEMAN,385422.7,6437382,51,C59,150,45.72,R,recrystallized,Gabbro,JAH,JA Hallberg,UWA,519000,10000,151000,14000,98000,2500,62000,94000,32000,2100,1400,11000,2000,52,285,102,88,15,55,333,23,137,56,GABBRO
1798,1124,YOUANMI,YOUANMI,786627.8,6801006,50,BL4,153,46.63,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,521000,8500,140000,14000,84000,1700,77000,116000,26500,1800,500,13000,0.01,59,390,12,109,5,155,335,17,77,51,BASALT
