Unit,Type,Easting,Northing,UTM_E_OnBag,UTM_N_OnBag,Depth_upper,Depth_lower,Lab-Field Group,Sample_ID,location_note,pH,EC,EC_units,Fibres,Fragments,Beads,Film,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
ENVT3361,Surface,400440,6468269,400441,646870,0,10,1,S2023_1.1,transect SE of NE pond,4.52,8.46,ms/cm,0,0,0,0,43286,8,115,1790,NA,121,5.5,56,93,54449,25,9,4979,49,29,5121,50,2,22218,53,18,633,39,65,6625,8,144,14,296,74,23,40
ENVT3361,Surface,400443,6468255,400444,6468255,0,10,1,S2023_1.2,transect SE of NE pond,5.03,12.16,ms/cm,1917,0,0,0,34731,11,69,1398,NA,73,7,62,98,69316,32,5,3987,29,18,5248,77,1,20222,34,19,525,23,69,4108,9,48,19,372,74,12,27
ENVT3361,Surface,400444,6468241,400445,6468242,0,10,1,S2023_1.3,transect SE of NE pond,5.06,5.36,ms/cm,486,0,0,0,37810,9,81,1891,NA,170,6.3,63,80,63005,29,10,3214,69,23,4606,65,1,9797,67,19,535,29,60,2168,9,57,17,350,74,33,38
ENVT3361,Surface,400320,6468293,400320,6468293,0,10,2,S2023_2.1,transect north of N pond,6.28,6.03,ms/cm,NA,NA,NA,NA,44481,12,99,3353,NA,117,10.9,52,72,78003,40,8,5343,54,39,4298,109,5,14833,47,19,422,33,63,5458,9,360,15,199,64,24,91
ENVT3361,Surface,400320,6468283,400320,6468283,0,10,2,S2023_2.2,transect north of N pond,6.35,4.34,ms/cm,NA,NA,NA,NA,53703,9,116,3204,0.18,192,12.2,59,89,69163,35,14,5515,77,49,4607,76,5,12877,79,29,613,35,61,5797,9,399,16,291,76,42,156
ENVT3361,Surface,400328,6468256,400328,6468246,0,10,2,S2023_2.3,transect north of N pond,6.3,7.01,ms/cm,NA,NA,NA,NA,55791,7,113,4282,0.11,247,14.5,68,142,45944,24,14,4593,115,63,5671,69,3,17206,87,38,648,47,74,4882,10,190,17,367,76,61,197
ENVT3361,Surface,400228,6468191,400222,6468209,0,10,3,S2023_3.1,Transect S of N pond,7.13,15.16,mS/cm,5000,20500,7000,0,35485,7,38,4901,0.05,108,11,58,199,37581,16,6,4850,49,31,7404,79,2,29467,38,21,378,40,82,8038,9,65,18,332,67,24,206
ENVT3361,Surface,400249,6468200,400247,6468196,0,10,3,S2023_3.2,Transect S of N pond,7.55,57.47,mS/cm,7500,0,6000,0,38020,6,48,11704,0.24,124,12.7,61,270,36439,16,7,6123,57,35,14360,124,2,66489,43,23,431,49,102,14885,9,136,20,379,69,29,286
ENVT3361,Surface,400267,6468201,400270,6468202,0,10,3,S2023_3.3,Transect S of N pond,7.17,32.95,mS/cm,6500,1000,0,0,28944,6,37,9405,0.34,79,10.2,46,200,28747,12,5,4276,37,24,10184,84,3,50125,28,18,338,38,70,13914,7,105,15,290,54,18,169
ENVT3361,Core,400228,6467997,400228,6467997,0,15,4,S2023_4.1,CORE nearest Chapman bridge,5.91,4.57,mS/cm,4500,0,0,0,40283,4,59,1567,NA,117,12.1,67,45,42845,18,7,3664,54,31,5771,215,3,22281,44,22,317,39,66,2194,10,34,20,410,83,25,64
ENVT3361,Core,400228,6467997,400228,6467997,15,30,4,S2023_4.2,CORE nearest Chapman bridge,5.4,2.8,mS/cm,3500,0,0,0,53042,8,33,1068,NA,153,10.2,74,33,49583,26,10,3622,63,51,3853,174,7,10443,60,22,278,36,65,1217,13,24,20,382,96,33,24
ENVT3361,Core,400228,6467997,400228,6467997,30,45,4,S2023_4.3,CORE nearest Chapman bridge,5.07,2.54,mS/cm,5000,1000,0,0,44986,9,111,901,NA,86,6.5,69,24,56490,25,6,2725,33,38,3491,102,11,8207,36,15,204,21,52,1201,11,24,23,402,113,19,18
ENVT3361,Core,400228,6467997,400228,6467997,45,60,4,S2023_4.4,CORE nearest Chapman bridge,4.99,4.63,mS/cm,5500,0,0,0,14483,2,35,560,NA,30,2.3,24,7,12822,NA,2,1322,14,11,1518,57,3,5646,11,5,40,8,15,1248,4,14,12,562,31,4,6
ENVT3361,Surface,399975,6468014,399974,6467993,0,10,5,S2023_5.1,transect 3 S of SW pond,6.62,6.97,mS/cm,3,3,NA,NA,39478,6,46,2847,NA,76,6.1,60,45,28974,14,4,3428,37,25,5364,47,1,18788,28,19,370,34,68,4055,9,54,18,321,62,15,141
ENVT3361,Surface,399975,6468006,399974,6467991,0,10,5,S2023_5.2,transect 3 S of SW pond,6.88,5.79,mS/cm,4,3,NA,NA,32098,4,48,2604,NA,83,5.9,59,44,28430,16,5,3247,40,23,4896,46,1,10890,30,17,397,37,61,3312,9,49,19,244,66,17,144
ENVT3361,Surface,399975,6467998,399975,6467998,0,10,5,S2023_5.3,transect 3 S of SW pond,6.73,5.93,mS/cm,NA,8,NA,NA,36066,6,36,3224,NA,84,10,61,43,38302,19,5,3288,41,24,6052,134,1,16374,31,19,570,34,68,2701,9,58,16,297,67,17,230
ENVT3361,Surface,399975,6467990,399972,6467985,0,10,5,S2023_5.4,transect 3 S of SW pond,7.9,7.1,mS/cm,NA,7,NA,NA,35145,6,31,2559,NA,78,10,57,38,32620,16,4,2898,39,24,5146,191,1,10507,29,19,480,31,59,1474,8,46,15,306,61,16,221
ENVT3361,Surface,399975,6467982,399974,6467980,0,10,5,S2023_5.5,transect 3 S of SW pond,7.51,3.34,mS/cm,NA,7,NA,NA,34227,5,37,3643,NA,87,11.9,61,42,38473,20,5,3102,43,26,5875,308,1,13336,32,20,649,38,63,2077,9,62,16,276,69,18,256
ENVT3361,Core,399975,6468029,399975,6468054,0,10,6,S2023_6.1,CORE south of SW pond,6.34,4.66,mS/cm,NA,NA,NA,NA,33376,6,55,3130,0.06,71,8.7,55,72,36959,19,4,3215,33,29,6770,46,5,20206,28,17,448,41,56,19225,9,71,18,251,63,15,282
ENVT3361,Core,399995,6468054,399995,6468054,10,20,6,S2023_6.2,CORE south of SW pond,6.81,7.5,mS/cm,NA,NA,NA,NA,35842,6,51,2026,0.27,105,18.9,65,53,36354,20,6,3794,54,35,4945,53,2,11085,38,24,373,34,68,3113,10,45,21,267,77,22,695
ENVT3361,Core,399995,6468054,399995,6468054,20,30,6,S2023_6.3,CORE south of SW pond,6.86,4.52,mS/cm,NA,NA,NA,NA,30761,5,46,1646,0.16,87,11.8,46,40,28596,14,5,2747,45,34,3609,38,2,8899,30,18,313,22,42,3157,7,37,14,230,59,20,397
ENVT3361,Core,399995,6468054,399995,6468054,30,40,6,S2023_6.4,CORE south of SW pond,6.75,7.55,mS/cm,NA,NA,NA,NA,42522,7,73,2292,0.58,120,33.3,66,67,44423,24,7,3965,60,45,5174,59,4,12835,42,31,410,35,68,4756,11,55,21,289,87,27,1018
ENVT3361,Surface,399940,6468015,399950,6467980,0,10,7,S2023_7.1,transect 2 S of SW pond,6.6,7.9,mS/cm,NA,NA,NA,NA,38739,5,38,4157,NA,81,11.7,60,41,33121,7,5,2744,41,21,5293,229,1,10107,30,20,735,37,54,1581,8,57,13,539,68,16,190
ENVT3361,Surface,399940,6468007,399948,6467980,0,10,7,S2023_7.2,transect 2 S of SW pond,6.8,5.26,mS/cm,NA,NA,NA,NA,34687,5,32,3023,NA,80,11,58,40,31837,15,4,2779,40,23,5122,224,1,10307,30,20,622,36,51,1392,8,51,14,338,62,16,258
ENVT3361,Surface,399940,6467999,399945,6467983,0,10,7,S2023_7.3,transect 2 S of SW pond,6.7,7.71,mS/cm,NA,NA,NA,NA,36130,7,36,2985,NA,89,15.6,62,43,39296,20,5,3392,45,26,5778,375,1,15212,34,22,561,37,68,1599,9,53,18,310,71,19,232
ENVT3361,Surface,399940,6467991,399948,6467988,0,10,7,S2023_7.4,transect 2 S of SW pond,6.7,8.02,mS/cm,NA,NA,NA,NA,39873,6,40,3086,NA,106,13.3,74,48,42887,20,6,3945,53,31,6399,116,1,16011,40,24,524,40,73,1743,11,54,22,375,85,22,259
ENVT3361,Surface,399940,6467983,399945,6467995,0,10,7,S2023_7.5,transect 2 S of SW pond,6.15,9.95,mS/cm,NA,NA,NA,NA,29247,6,37,3494,NA,77,7.3,54,42,32586,18,4,3640,39,29,6170,41,2,19782,28,18,619,37,55,4818,8,62,15,236,67,17,217
ENVT3361,Core,399996,6468050,399975,6468066,0,10,8,S2023_8.1,CORE near Kitchener path,6.78,3.11,mS/cm,NA,NA,NA,NA,1699,1,2,1028,NA,3,NA,3,NA,1284,NA,NA,28,2,NA,84,7,NA,31,1,NA,14,1,NA,57,NA,7,1,88,8,NA,3
ENVT3361,Core,399996,6468050,399975,6468066,11,20,8,S2023_8.2,CORE near Kitchener path,6.76,7.25,mS/cm,NA,NA,NA,NA,366,NA,3,23,NA,2,0.4,1,NA,532,NA,NA,122,1,NA,11,25,NA,30,1,NA,3,2,NA,NA,NA,NA,1,440,1,NA,1
ENVT3361,Core,399996,6468050,399975,6468066,21,30,8,S2023_8.3,CORE near Kitchener path,6.73,3.55,mS/cm,NA,NA,NA,NA,45877,7,102,2274,NA,116,8,81,47,42921,18,6,3870,61,32,5287,71,1,10412,43,25,402,38,72,2103,12,49,23,472,87,25,150
ENVT3361,Core,399996,6468050,399975,6468066,31,40,8,S2023_8.4,CORE near Kitchener path,6.93,2.83,mS/cm,NA,NA,NA,NA,43637,4,74,2427,NA,110,7.5,76,48,35180,17,6,3885,56,33,5508,60,1,12675,40,23,395,41,71,2412,12,53,23,397,81,24,148
ENVT3361,Core,399996,6468050,399975,6468066,41,50,8,S2023_8.5,CORE near Kitchener path,6.69,2.88,mS/cm,NA,NA,NA,NA,46511,4,88,2210,NA,124,7.9,75,42,35270,15,7,3518,60,44,4778,59,1,10018,45,23,342,31,65,1664,12,49,21,432,89,29,123
ENVT3361,Surface,399975,6468066,399995,6468066,0,10,9,S2023_9.1,western-S pond,7,9.12,mS/cm,NA,NA,NA,NA,21623,22,53,6102,NA,49,6.9,36,39,90146,46,4,2645,26,17,8019,46,3,36996,21,11,1170,24,33,18348,4,106,9,182,74,10,230
