"Sample","Site","Rep","Easting","Northing","Gambusia.holbrooki","Arenigobius.bifrenatus","Mugil.cephalus","Acanthopagrus.butcheri","Limnodynastes.dorsalis","Pseudophryne.guentheri","Anas.platyrhynchos","Spilopelia.chinensis","Porphyrio.porphyrio","Porzana.tabuensis","Egretta.novaehollandiae","Trichoglossus.rubritorquis","Bos.taurus","Ovis.sp.","Mus.musculus","Rattus.sp.","Blackfordia.polytentaculata","Obelia.bidentata","Phyllorhiza.punctata","Aurelia.sp.","Canis.lupus.familiaris","Zone"
"1a","1","a",400662,6468516,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,"odd"
"1b","1","b",400662,6468516,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,"odd"
"1c","1","c",400662,6468516,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"odd"
"1d","1","d",400662,6468516,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,"odd"
"2a","2","a",400475,6468323,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"even"
"2b","2","b",400475,6468323,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"even"
"2c","2","c",400475,6468323,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"even"
"2d","2","d",400475,6468323,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"even"
"3a","3","a",400281,6468192,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"odd"
"3b","3","b",400281,6468192,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"odd"
"3c","3","c",400281,6468192,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"odd"
"3d","3","d",400281,6468192,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"odd"
"4a","4","a",400109,6468014,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,"even"
"4b","4","b",400109,6468014,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,"even"
"4c","4","c",400109,6468014,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,"even"
