"Sample.ID","Group","Easting","Northing","EC","EC.units","pH","NH4.N","PO4.P"
"SPW25_01","Aquaculture",386255,6464553,589,"uS",7.22,0.365,-0.015
"SPW25_02","Aquaculture",386259,6464553,566,"uS",7.23,0.221,-0.015
"SPW25_03","Aquaculture",386265,6464554,577,"uS",7.18,0.221,-0.015
"SPW25_04","Aquaculture",386271,6464555,293,"uS",7.1,0.216,-0.015
"SPW25_05","Aquaculture",386281,6464565,289.3,"uS",7.11,0.216,-0.015
"SPW25_06","Aquaculture",386286,6464563,273.6,"uS",7.15,0.063,-0.015
"SPW25_07","Recycling",386245,6464531,526,"uS",7.78,0.043,0.0099
"SPW25_08","Recycling",386243,6464528,480,"uS",7.9,0.037,0.0099
"SPW25_09","Recycling",386251,6464529,482,"uS",7.96,0.025,0.0079
"SPW25_10","Recycling",386254,6464531,483,"uS",7.66,0.05,0.0099
"SPW25_11","Recycling",386260,6464534,569,"uS",7.72,0.034,0.0099
"SPW25_12","Recycling",386253,6464533,506,"uS",7.7,1.537,0.0099
"SPW25_13","Traffic",386257,6464539,588,"uS",7.26,0.0392,0
"SPW25_14","Traffic",386252,6964547,608,"uS",7.5,0.021,-0.001
"SPW25_15","Traffic",386245,6464540,597,"uS",7.83,0.021,0
"SPW25_16","Traffic",386258,6464550,615,"uS",7.76,0.018,0.022
"SPW25_17","Traffic",386252,6464545,612,"uS",7.85,0.0332,0
"SPW25_18","Traffic",386248,6464542,609,"uS",7.86,0.0332,-0.079
