"X","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22"
"R1",0,0,6.338e-05,0,6.563e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R2",0,-0.2,0.001075,-0.2,1.949e-07,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2
"R3",0,-0.4,0.006028,-0.4,1.491e-06,-0.4,4.542e-10,-0.4,0,-0.4,0,-0.4,0,-0.4,0,-0.4,0,-0.4,0,-0.4,0,-0.4
"R4",0,-0.6,0.02177,-0.6,8.06e-06,-0.6,2.809e-09,-0.6,0,-0.6,0,-0.6,0,-0.6,0,-0.6,0,-0.6,0,-0.6,0,-0.6
"R5",0,-0.8,0.05804,-0.8,3.509e-05,-0.8,1.45e-08,-0.8,0,-0.8,0,-0.8,0,-0.8,0,-0.8,0,-0.8,0,-0.8,0,-0.8
"R6",0,-1,0.1217,-1,0.0001292,-1,6.538e-08,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
"R7",0,-1.2,0.2087,-1.2,0.0004127,-1.2,2.633e-07,-1.2,1.328e-10,-1.2,0,-1.2,0,-1.2,0,-1.2,0,-1.2,0,-1.2,0,-1.2
"R8",0,-1.4,0.3015,-1.4,0.001163,-1.4,9.604e-07,-1.4,5.553e-10,-1.4,0,-1.4,0,-1.4,0,-1.4,0,-1.4,0,-1.4,0,-1.4
"R9",0,-1.6,0.3752,-1.6,0.002925,-1.6,3.202e-06,-1.6,2.153e-09,-1.6,0,-1.6,0,-1.6,0,-1.6,0,-1.6,0,-1.6,0,-1.6
"R10",0,-1.8,0.4099,-1.8,0.006627,-1.8,9.826e-06,-1.8,7.79e-09,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
"R11",0,-2,0.3995,-2,0.01363,-2,2.791e-05,-2,2.641e-08,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2
"R12",0,-2.2,0.3522,-2.2,0.02561,-2.2,7.368e-05,-2.2,8.422e-08,-2.2,0,-2.2,0,-2.2,0,-2.2,0,-2.2,0,-2.2,0,-2.2
"R13",0,-2.4,0.284,-2.4,0.0442,-2.4,0.0001815,-2.4,2.534e-07,-2.4,2.259e-10,-2.4,0,-2.4,0,-2.4,0,-2.4,0,-2.4,0,-2.4
"R14",0,-2.6,0.2116,-2.6,0.07046,-2.6,0.0004186,-2.6,7.209e-07,-2.6,7.358e-10,-2.6,0,-2.6,0,-2.6,0,-2.6,0,-2.6,0,-2.6
"R15",0,-2.8,0.1469,-2.8,0.1042,-2.8,0.0009066,-2.8,1.944e-06,-2.8,2.288e-09,-2.8,0,-2.8,0,-2.8,0,-2.8,0,-2.8,0,-2.8
"R16",0,-3,0.09569,-3,0.1436,-3,0.001848,-3,4.981e-06,-3,6.801e-09,-3,0,-3,0,-3,0,-3,0,-3,0,-3
"R17",0,-3.2,0.05888,-3.2,0.185,-3.2,0.003557,-3.2,1.214e-05,-3.2,1.936e-08,-3.2,0,-3.2,0,-3.2,0,-3.2,0,-3.2,0,-3.2
"R18",0,-3.4,0.0344,-3.4,0.2238,-3.4,0.006474,-3.4,2.821e-05,-3.4,5.284e-08,-3.4,0,-3.4,0,-3.4,0,-3.4,0,-3.4,0,-3.4
"R19",0,-3.6,0.01917,-3.6,0.2551,-3.6,0.01117,-3.6,6.257e-05,-3.6,1.384e-07,-3.6,1.871e-10,-3.6,0,-3.6,0,-3.6,0,-3.6,0,-3.6
"R20",0,-3.8,0.01024,-3.8,0.2747,-3.8,0.0183,-3.8,0.0001326,-3.8,3.485e-07,-3.8,5.325e-10,-3.8,0,-3.8,0,-3.8,0,-3.8,0,-3.8
"R21",0,-4,0.005256,-4,0.2804,-4,0.02854,-4,0.0002692,-4,8.442e-07,-4,1.464e-09,-4,0,-4,0,-4,0,-4,0,-4
"R22",0,-4.2,0.002603,-4.2,0.2721,-4.2,0.04242,-4.2,0.0005236,-4.2,1.969e-06,-4.2,3.892e-09,-4.2,0,-4.2,0,-4.2,0,-4.2,0,-4.2
"R23",0,-4.4,0.001248,-4.4,0.2517,-4.4,0.06021,-4.4,0.0009771,-4.4,4.427e-06,-4.4,1.001e-08,-4.4,0,-4.4,0,-4.4,0,-4.4,0,-4.4
"R24",0,-4.6,0.00058,-4.6,0.2224,-4.6,0.08173,-4.6,0.001752,-4.6,9.602e-06,-4.6,2.492e-08,-4.6,0,-4.6,0,-4.6,0,-4.6,0,-4.6
"R25",0,-4.8,0.0002622,-4.8,0.1883,-4.8,0.1063,-4.8,0.00302,-4.8,2.011e-05,-4.8,6.01e-08,-4.8,1.105e-10,-4.8,0,-4.8,0,-4.8,0,-4.8
"R26",0,-5,0.0001155,-5,0.153,-5,0.1326,-5,0.005013,-5,4.069e-05,-5,1.405e-07,-5,2.883e-10,-5,0,-5,0,-5,0,-5
"R27",0,-5.2,4.965e-05,-5.2,0.1196,-5.2,0.1589,-5.2,0.008017,-5.2,7.961e-05,-5.2,3.187e-07,-5.2,7.318e-10,-5.2,0,-5.2,0,-5.2,0,-5.2
"R28",0,-5.4,2.088e-05,-5.4,0.09007,-5.4,0.1832,-5.4,0.01237,-5.4,0.0001508,-5.4,7.016e-07,-5.4,1.808e-09,-5.4,0,-5.4,0,-5.4,0,-5.4
"R29",0,-5.6,8.597e-06,-5.6,0.06552,-5.6,0.2034,-5.6,0.01842,-5.6,0.0002764,-5.6,1.5e-06,-5.6,4.347e-09,-5.6,0,-5.6,0,-5.6,0,-5.6
"R30",0,-5.8,3.472e-06,-5.8,0.0461,-5.8,0.2179,-5.8,0.02652,-5.8,0.0004912,-5.8,3.116e-06,-5.8,1.018e-08,-5.8,0,-5.8,0,-5.8,0,-5.8
"R31",0,-6,1.377e-06,-6,0.03143,-6,0.2254,-6,0.03692,-6,0.0008465,-6,6.292e-06,-6,2.323e-08,-6,0,-6,0,-6,0,-6
"R32",0,-6.2,5.371e-07,-6.2,0.02079,-6.2,0.2254,-6.2,0.04975,-6.2,0.001415,-6.2,1.236e-05,-6.2,5.167e-08,-6.2,1.325e-10,-6.2,0,-6.2,0,-6.2
