"cM","qM","M.add","VT","massHA"
4.892e-09,0.00315,3.15e-07,0.02,1e-04
5.441e-09,0.00315,3.15e-07,0.02,1e-04
1.067e-08,0.00629,6.29e-07,0.02,1e-04
1.563e-08,0.00629,6.29e-07,0.02,1e-04
1.964e-08,0.00943,9.43e-07,0.02,1e-04
2.725e-08,0.00943,9.44e-07,0.02,1e-04
2.787e-08,0.01398,1.399e-06,0.02,1e-04
3.177e-08,0.01397,1.398e-06,0.02,1e-04
5.986e-08,0.01886,1.887e-06,0.02,1e-04
6.507e-08,0.01886,1.887e-06,0.02,1e-04
1.176e-07,0.02513,2.515e-06,0.02,1e-04
1.181e-07,0.02513,2.515e-06,0.02,1e-04
1.869e-07,0.0314,3.144e-06,0.02,1e-04
2.076e-07,0.03139,3.143e-06,0.02,1e-04
2.425e-07,0.03766,3.771e-06,0.02,1e-04
2.732e-07,0.03765,3.77e-06,0.02,1e-04
4.5e-07,0.05018,5.027e-06,0.02,1e-04
4.286e-07,0.05018,5.027e-06,0.02,1e-04
